date,prompt
"04-07-2026","add a function in resume_reader that it takes a presignedURL from s3. pull the document read its content and returns it. If you need it create a separate file for s3_client in a different python package"
"11-07-2026","in docker-compose add image container with llama3.1 and set the default env vars to use docker llama as default"
"11-07-2026","add lynq-ml into docker-compose"
"12-07-2026","create test package with unittest"
"23-07-2026","add a POST /parse-resume endpoint that takes a presigned s3 url, downloads the resume document, extracts its text and uses the llm to return a structured Resume json (personal info, experience, education, skills). wrap it in globalRestResponse"
"23-07-2026","create a POST /resume-template-creation endpoint that, given a body with {resume_content: <json>, profile_url: <string>, put_resume_url: <string>}, renders the resume template into a PDF, uploads it to the given presigned URL and responds with 201"
"23-07-2026","refactor the project structure so each feature is split into its own router, model and prompt module instead of one package per feature"
"24-07-2026","when a candidate is evaluated with AI evaluation. when I'm in spanish I get the enum \"Not recommended\". The enum recommendation should be in the same language that is the evaluation"
"24-07-2026","add a POST /candidate-explanation endpoint that returns a short recruiter explanation of why a candidate fits a job plus a recommendation. the recommendation must stay a canonical key (hire/no_hire/maybe) even when the explanation is written in another language, and the explanation itself should be in the request language"
"25-07-2026","create a POST /translate endpoint that takes a body with {resume: <json>, language: <code>} and translates every natural language value of the resume into the target language reusing the Resume model. validate language against an enum that mirrors the backend and wrap the response in globalRestResponse"
"25-07-2026","add a POST /skill-enhance endpoint that given a job posting with {title, description, work_type} extracts the key skills with the llm and returns them as a list wrapped in globalRestResponse"
"25-07-2026","create a POST /upskilling_suggestion endpoint that evaluates a candidate against a job, asks the llm for a recruiter outcome plus a few search queries for the missing skills, then resolves each query to udemy courses concurrently and returns them wrapped in globalRestResponse"
"25-07-2026","the translation and upskilling prompts should have a separate jinja template per llm provider (ollama and openai) rendered from a provider specific file under resources/prompts"
"26-07-2026","create endpoint POST /detect-language that given a json body {text: value} will return the main language. The idea is to auto detect the language of a resume. Json response should be wrapped in globalRestResponse the same as other endpoints"
"27-07-2026","build passes. read the report from the last release and fix all the code smell,bug and vulneravility"
