date,prompt
"12-09-2026","create a new python microservice called lynq-feeders that exposes a POST /lynq-feeders/ingest endpoint. On each call it must scrape the latest 10 job postings from Bumeran and Computrabajo for the administracion, tecnologia, contabilidad and recursos humanos rubros. Migrate the existing bumeran_jobs.py and computrabajo_jobs.py scripts from the feeders folder into importable modules, dropping their CLI and JSON file output. Follow the same conventions as lynq-ml: GlobalRestResponse envelope, lynq-request-uuid middleware, exception handlers, log_config.json, Dockerfile on python:3.12-slim and a pip-compile lock with hashes."
"12-09-2026","resolve the real category identifiers of both portals instead of guessing them: use the Bumeran searchV2 area filter and the Computrabajo SEO listing slugs, and fall back to a keyword search for any rubro that does not map"
"12-09-2026","add a client for lynq-ml that calls POST /dmz/skill-enhance for every scraped posting to fill in its skills and similarity tags, sending a configurable system user id in the user-id header. If the call fails the posting must still be ingested with empty skills instead of failing the run, and the calls must be bounded by a concurrency limit"
"12-09-2026","add a client that posts the normalized batch to the lynq-app-backend internal ingest endpoint with a shared secret header, and deduplicate postings by source and external id before sending them"
"12-09-2026","add unittest coverage for the scrapers using captured HTML and API fixtures so the suite never reaches the network, plus tests for the clients, the run orchestration, the routers and the middleware"
"13-09-2026","the sonarcloud quality gate flags the computrabajo scraper regexes that read the relative date and the years of experience as super-linear backtracking. rewrite them so the digit run is bounded instead of relying on possessive quantifiers, keeping the parsed values and the tests unchanged"
"13-09-2026","rename Rubro to category everywhere in the service. Rename the scraper/rubros.py module, the BumeranRubro/ComputrabajoRubro models, the bumeran_rubro/computrabajo_rubro lookups, the IngestOverrides and RunPlan fields (rubros, jobs_per_rubro) and the FEEDER_RUBROS / FEEDER_JOBS_PER_RUBRO environment variables, keeping the category values themselves untouched"
"24-09-2026","bump the project version to 2.0.0-SNAPSHOT in the VERSION file"
"24-09-2026","bump the project version to 2.0.1-SNAPSHOT in the VERSION file"
"26-09-2026","carry the company logo through the feed: add a company_logo_url field to the Listing model, read it from the logoURL field of the Bumeran searchV2 payload and from the div.logo_company img element of the Computrabajo detail page (making a protocol-relative src absolute), and send it to lynq-app-backend as companyLogoUrl in the ingest payload"
"26-09-2026","stop swallowing skill-extraction failures: a job post ingested with no skills and no similarity tags scores 0 on the LyNQ score for every candidate, and the backend wipes the previously extracted ones on every ingest. Make the ingest run abort with an EnrichmentError before it posts anything to lynq-app-backend whenever a listing has no description, the lynq-ml skill-enhance call fails, or the completion comes back with neither skills nor similarity tags. Log an error per offending listing, have the router turn the error into a 502 whose reason names every offender and the count, and cover it with tests."
